Team	Conference	Division	Wins	Losses	Ties	Elo Rating
Arizona Cardinals	NFC	NFC WEST	1	2	0	1501
Atlanta Falcons	NFC	NFC SOUTH	3	1	0	1627
Baltimore Ravens	AFC	AFC NORTH	2	2	0	1460
Buffalo Bills	AFC	AFC EAST	3	1	0	1548
Carolina Panthers	NFC	NFC SOUTH	3	1	0	1536
Chicago Bears	NFC	NFC NORTH	1	3	0	1382
Cincinatti Bengals	AFC	AFC NORTH	1	3	0	1474
Cleveland Browns	AFC	AFC NORTH	0	4	0	1290
Dallas Cowboys	NFC	NFC EAST	2	2	0	1557
Denver Broncos	AFC	AFC WEST	2	1	0	1564
Detroit Lions	NFC	NFC NORTH	3	1	0	1565
Green Bay Packers	NFC	NFC NORTH	3	1	0	1601
Houston Texans	AFC	AFC SOUTH	2	2	0	1501
Indianapolis Colts	AFC	AFC SOUTH	1	2	0	1462
Jacksonville Jaguars	AFC	AFC SOUTH	2	2	0	1439
Kansas City Chiefs	AFC	AFC WEST	3	0	0	1677
Los Angeles Chargers	AFC	AFC WEST	0	3	0	1407
Los Angeles Rams	NFC	NFC WEST	3	1	0	1460
Miami Dolphins	AFC	AFC EAST	1	2	0	1460
Minnesota Vikings	NFC	NFC NORTH	2	2	0	1502
New England Patriots	AFC	AFC EAST	2	2	0	1646
New Orleans Saints	NFC	NFC SOUTH	2	2	0	1537
New York Giants	NFC	NFC EAST	0	3	0	1471
New York Jets	AFC	AFC EAST	2	2	0	1461
Oakland Raiders	AFC	AFC WEST	2	1	0	1539
Philadelphia Eagles	NFC	NFC EAST	2	1	0	1541
Pittsburgh Steelers	AFC	AFC NORTH	3	1	0	1614
San Francisco 49ers	NFC	NFC WEST	0	3	0	1319
Seattle Seahawks	NFC	NFC WEST	1	2	0	1538
Tampa Bay Buccaneers	NFC	NFC SOUTH	1	1	0	1495
Tennessee Titans	AFC	AFC SOUTH	2	2	0	1461
Washington Redskins	NFC	NFC EAST	2	1	0	1526
